comment,label
"Los hospitales cubanos tienen buenos médicos, pero faltan recursos.",criterio_general
La falta de medicamentos en farmacias es preocupante.,criterio_general
"El sistema de salud gratuito es un logro, pero necesita más apoyo.",criterio_general
Las ambulancias deberían tener mejor mantenimiento.,criterio_general
"La atención primaria es eficiente, pero las especialidades tienen demoras.",criterio_general
Denuncio robo de medicamentos en el hospital Calixto García por personal administrativo.,denuncia
Reporto negligencia médica en el pediátrico de Marianao que agravó la condición de mi hijo.,denuncia
Exijo investigación por la venta ilegal de citas médicas prioritarias en el hospital Hermanos Ameijeiras.,denuncia
Denuncio que farmacias estatales ocultan medicamentos para venderlos bajo demanda a conocidos.,denuncia
Reporto condiciones insalubres en el centro de salud de Guanabacoa que ponen en riesgo a pacientes.,denuncia
Estoy harto de la falta de medicamentos básicos en las farmacias,queja
Es indignante tener que esperar 6 meses para una cita con el especialista,queja
"Me tienen cansado con las pésimas condiciones de los hospitales, sin sábanas ni agua",queja
Es inaceptable que siempre falten los reactivos para los análisis médicos,queja
"Estoy frustrado con la atención burocrática en las clínicas, más papeleo que medicina",queja
Propongo crear un sistema de telemedicina para consultas no urgentes y descongestionar los hospitales,sugerencia
Sería útil implementar farmacias móviles que recorran barrios periféricos con medicamentos esenciales,sugerencia
Sugiero desarrollar una app con los stocks reales de medicamentos por farmacia para evitar viajes innecesarios,sugerencia
Recomiendo crear brigadas de mantenimiento preventivo en hospitales para evitar fallas eléctricas críticas,sugerencia
Propongo un programa de acompañamiento psicológico gratuito por teléfono durante las crisis sanitarias,sugerencia
